scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_socio4_ag1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.5367300000000014e-06,0.810804,0.1949341,1.3508173109999997,0.00540315,1.3315519999999998,0.01318442,0.000308783,0.001115102,0.000368958,3,2,1,1,1,1,4,3,7,3,4,6,2
ssp_socio4_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,3.1024200000000003e-06,0.3471966,0.2336393999999999,1.4752672094,0.003526701,1.4645767,0.00633091,0.000274218,0.00111764,0.0005586804,3,2,1,2,1,1,4,0,3,3,5,3,2
ssp_socio4_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.07461e-06,0.7718550000000001,0.1897945,1.3088610059999999,0.00513792,1.290388,0.01267833,0.000297129,0.001096454,0.0003596269999999,3,2,2,1,1,1,4,3,7,3,4,6,2
ssp_socio4_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,3.0722000000000004e-06,0.3436224,0.2314328,1.4610774685999999,0.003493966,1.4504781999999998,0.00627836,0.000272949,0.0011108939999999,0.0005539936,3,2,2,2,1,1,4,0,3,3,5,3,2
ssp_socio4_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.342410000000001e-06,0.809791,0.1972166,1.365209271,0.0054182699999999,1.345776,0.01332576,0.0003114509999999,0.0011434989999999,0.00037779,3,2,3,1,1,1,4,3,7,3,4,6,2
ssp_socio4_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,3.0444400000000007e-06,0.3447116,0.2332705,1.4674554807,0.003519515,1.4567851,0.00631906,0.000273969,0.0011188819999999,0.0005578366999999,3,2,3,2,1,1,4,0,3,3,5,3,2
ssp_socio4_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,6.958950000000001e-06,0.7549619999999999,0.1865193,1.29712238,0.00500125,1.279136,0.01234096,0.000290331,0.001076184,0.000353839,3,2,4,1,1,1,4,3,7,3,4,6,2
ssp_socio4_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,3.0773500000000007e-06,0.3441190999999999,0.2318877,1.4685936061,0.003489492,1.4580061000000002,0.00627066,0.000272399,0.0011121739999999,0.0005549550999999,3,2,4,2,1,1,4,0,3,3,5,3,2
ssp_socio4_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,6.861569999999999e-06,0.7622059999999999,0.190554,1.3126151080000001,0.00513464,1.294196,0.01262545,0.000297473,0.001087625,0.000361545,3,2,5,1,1,1,4,3,7,3,4,6,2
ssp_socio4_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,3.02625e-06,0.34215,0.2328722,1.4641421632999998,0.003503785,1.4535212000000002,0.00628693,0.000273113,0.001114418,0.0005571352999999,3,2,5,2,1,1,4,0,3,3,5,3,2
